מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,9760.0,TABOOLA.COM LTD,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Trading Companies & Distributors,2026-06-29,לא,USD,11.5,1.0,317.0,3.306,8.5,0.089,0.004834,0.0,,
1328,9760.0,Athena Technology Acquisition,5493008CK2CE7TGDP465,LEI,Athena Technology Acquisition,US04687C1137,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US04687C1053,Financial Services,2028-10-17,לא,USD,11.5,1.0,722.62,3.306,2.7,0.065,0.0035,0.0,,
1328,9760.0,FALCON'S BEYOND GLOBAL INC-A,14460,פנימי,Falcon's Beyond Global Inc,US3061211120,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US3061211047,Entertainment,2027-09-01,לא,USD,11.5,1.0,91.43,3.306,168.0,0.508,0.027558,1e-06,,
1328,9760.0,Terran Orbital Corp,14335,פנימי,Terran Orbital Corp,US88105P1113,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US88105P1030,Aerospace & Defense,2027-03-25,לא,USD,11.5,1.0,681.49,3.306,0.69,0.016,0.000843,0.0,,
1328,9760.0,ATLANTIC COAST ACQUISITION-A,70422,פנימי,Abpro Holdings Inc,US0008471114,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US04845A1088,Biotechnology,2029-11-12,לא,USD,11.5,1.0,193.87,3.306,2.36,0.015,0.00082,0.0,,
1328,9760.0,PAPAYA GROWTH OPPORTUNI-CL A,549300U6L3FU6EKJUM40,LEI,Papaya Growth Opportunity Corp,US69882P1104,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US69882P1021,Financial Services,2028-12-31,לא,USD,11.5,1.0,193.87,3.306,1.06,0.007,0.000368,0.0,,
1328,9760.0,NIOCORP DEVELOPMENTS LTD,5299001QL26XJPOD3A17,LEI,NioCorp Developments Ltd,CA6544841530,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,CA6544846091,Metals & Mining,2028-03-17,לא,USD,8.942,1.0,793.12,3.306,184.0,4.825,0.261833,1.6e-05,,
1328,9760.0,JAWS MUSTANG ACQUISITION C-A,13839,פנימי,Jaws Mustang Acquisition Corp,KYG507371246,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG507371089,Financial Services,2026-01-30,לא,USD,11.5,1.0,52.48,3.306,3.38,0.006,0.000318,0.0,,
1328,9760.0,ECARX HOLDINGS INC-CL A,70625,פנימי,ECARX Holdings Inc,KYG292011114,ISIN,"חו""ל",קנדה,סחיר,NASDAQ,KYG292011031,Automobile Components,2027-12-21,לא,USD,11.5,1.0,1057.49,3.306,6.0,0.21,0.011383,0.0,,
1328,9760.0,AIRSHIP AI HOLDINGS INC,14482,פנימי,Airship AI Holdings Inc,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,11.5,1.0,1172.06,3.306,167.0,6.471,0.351182,2.2e-05,,
1328,9760.0,DHC Acquisition Corp,13677,פנימי,Brand Engagement Network Inc,US1049321169,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1049321086,Software,2029-03-14,לא,USD,11.5,1.0,117.49,3.306,1.53,0.006,0.000322,0.0,,
1328,9760.0,EVe Mobility Acquisition Corp,14175,פנימי,EVe Mobility Acquisition Corp,KYG3218G1174,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG3218G1091,Financial Services,2028-12-31,לא,USD,11.5,1.0,634.49,3.306,4.5,0.094,0.005122,0.0,,
1328,12138.0,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31,לא,ILS,120.0,1.0,2960.15,1.0,944.9,27.971,0.187215,9e-06,,
1328,12138.0,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11641.04,1.0,1037.36,1.0,1609.0,16.691,0.111718,5e-06,,
1328,12138.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים  אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,0.375,1.0,3428.51,1.0,134.3,4.604,0.030819,1e-06,,
1328,12138.0,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אפ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,5.9858,1.0,15525.7,1.0,403.0,62.569,0.41879,2.1e-05,,
1328,12138.0,SEMANTIX INC-CL A,70523,פנימי,Semantix Inc,KYG6332A1141,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,STIXF US Equity,Software,2027-08-04,לא,USD,11.5,1.0,1951.21,3.306,0.0001,0.0,0.0,0.0,,
1328,12138.0,Investcorp Europe Acquisition,14180,פנימי,Investcorp Europe Acquisition,KYG4923T1132,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG4923T1058,Financial Services,2028-11-23,לא,USD,11.5,1.0,1456.57,3.306,1.0,0.048,0.000322,0.0,,
