מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,סוף מידע
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8780 01.07.2026,71118855.0,2011-07-01,0.7410567926138304,צמוד למדד המחירים לצרכן,2026-07-01,0.048,0.0484,754.26,124.454088,0.939,0.939,עלות מופחתת,6.2e-05,1.7e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8778 01.05.2026,71118830.0,2011-05-01,0.5743895671593743,צמוד למדד המחירים לצרכן,2026-05-01,0.048,0.0485,370.34,126.786834,0.47,0.47,עלות מופחתת,3.1e-05,8e-06,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8779 01.06.2026,71118848.0,2011-06-01,0.6577234592804972,צמוד למדד המחירים לצרכן,2026-06-01,0.048,0.0484,638.95,125.545192,0.802,0.802,עלות מופחתת,5.3e-05,1.4e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8774 01.01.2026,71116750.0,2011-01-01,0.25277777777777777,צמוד למדד המחירים לצרכן,2026-01-01,0.048,0.0482,790.88,127.137022,1.006,1.006,עלות מופחתת,6.6e-05,1.8e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8894 01.02.2036,71126288.0,2021-02-01,8.199654750710344,צמוד למדד המחירים לצרכן,2036-02-01,0.048,0.0485,627176.73,119.687329,750.651,750.651,עלות מופחתת,0.049671,0.013608,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8896 01.04.2036,71126353.0,2021-04-01,8.169517453559912,צמוד למדד המחירים לצרכן,2036-04-01,0.048,0.0485,543795.54,121.350083,659.896,659.896,עלות מופחתת,0.043665,0.011962,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8889 01.09.2035,71126098.0,2020-09-01,7.972456804478872,צמוד למדד המחירים לצרכן,2035-09-01,0.048,0.0485,469361.04,119.084253,558.935,558.935,עלות מופחתת,0.036985,0.010132,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8891 01.11.2035,71126130.0,2020-11-01,7.949654750710344,צמוד למדד המחירים לצרכן,2035-11-01,0.048,0.0485,349436.14,121.124046,423.251,423.251,עלות מופחתת,0.028006,0.007672,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8878 01.09.2034,71125348.0,2019-09-01,7.3286838198280755,צמוד למדד המחירים לצרכן,2034-09-01,0.048,0.0485,99053.82,118.375418,117.255,117.255,עלות מופחתת,0.007758,0.002125,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8838 01.05.2031,71123293.0,2016-05-01,4.868908215490777,צמוד למדד המחירים לצרכן,2031-05-01,0.048,0.0485,11068.38,123.456257,13.665,13.665,עלות מופחתת,0.000904,0.000247,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8843 01.10.2031,71123517.0,2016-10-01,5.161447050734411,צמוד למדד המחירים לצרכן,2031-10-01,0.048,0.0485,8806.95,122.559506,10.794,10.794,עלות מופחתת,0.000714,0.000195,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8862 01.05.2033,71124473.0,2018-05-01,6.320081206151133,צמוד למדד המחירים לצרכן,2033-05-01,0.048,0.0485,56364.78,122.091348,68.817,68.817,עלות מופחתת,0.004553,0.001247,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8833 01.12.2030,71122774.0,2015-12-01,4.567303515946433,צמוד למדד המחירים לצרכן,2030-12-01,0.048,0.0485,6009.67,121.110975,7.278,7.278,עלות מופחתת,0.000481,0.000131,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8836 01.03.2031,71123079.0,2016-03-01,4.817303515946432,צמוד למדד המחירים לצרכן,2031-03-01,0.048,0.0485,1463.75,120.882326,1.769,1.769,עלות מופחתת,0.000117,3.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8829 01.08.2030,71122626.0,2015-08-01,4.339751150341647,צמוד למדד המחירים לצרכן,2030-08-01,0.048,0.0485,9797.26,119.793825,11.737,11.737,עלות מופחתת,0.000776,0.000212,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8824 01.03.2030,71122428.0,2015-03-01,4.0193643837764474,צמוד למדד המחירים לצרכן,2030-03-01,0.048,0.0485,10480.98,120.151183,12.593,12.593,עלות מופחתת,0.000833,0.000228,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8819 01.10.2029,71121768.0,2014-10-01,3.6026977171097805,צמוד למדד המחירים לצרכן,2029-10-01,0.048,0.0485,4625.95,121.222494,5.608,5.608,עלות מופחתת,0.000371,0.000101,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8827 01.06.2030,71122543.0,2015-06-01,4.17308448367498,צמוד למדד המחירים לצרכן,2030-06-01,0.048,0.0485,4223.05,121.354659,5.125,5.125,עלות מופחתת,0.000339,9.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8797 01.12.2027,71120570.0,2012-12-01,2.0548933704687102,צמוד למדד המחירים לצרכן,2027-12-01,0.048,0.0485,2231.58,122.110465,2.725,2.725,עלות מופחתת,0.00018,4.9e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8811 01.02.2029,71121578.0,2014-02-01,3.099182079218734,צמוד למדד המחירים לצרכן,2029-02-01,0.048,0.0485,3121.5,119.323081,3.725,3.725,עלות מופחתת,0.000246,6.7e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8809 01.12.2028,71121305.0,2013-12-01,2.932515412552067,צמוד למדד המחירים לצרכן,2028-12-01,0.048,0.0485,4266.46,119.921112,5.116,5.116,עלות מופחתת,0.000338,9.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8796 01.11.2027,71120448.0,2012-11-01,1.971560037135377,צמוד למדד המחירים לצרכן,2027-11-01,0.048,0.0485,2336.04,122.369591,2.859,2.859,עלות מופחתת,0.000189,5.1e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8795 01.10.2027,71120356.0,2012-10-01,1.8882267038020435,צמוד למדד המחירים לצרכן,2027-10-01,0.048,0.0485,2279.06,122.842903,2.8,2.8,עלות מופחתת,0.000185,5e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8807 01.10.2028,71120950.0,2013-10-01,2.7658487458854006,צמוד למדד המחירים לצרכן,2028-10-01,0.048,0.0485,4421.11,121.459952,5.37,5.37,עלות מופחתת,0.000355,9.7e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8785 01.12.2026,71119127.0,2011-12-01,1.134549207576438,צמוד למדד המחירים לצרכן,2026-12-01,0.048,0.0485,1273.83,124.458743,1.585,1.585,עלות מופחתת,0.000104,2.8e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8804 01.07.2028,71121107.0,2013-07-01,2.582254121211065,צמוד למדד המחירים לצרכן,2028-07-01,0.048,0.0485,1596.7,121.347772,1.938,1.938,עלות מופחתת,0.000128,3.5e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8868 01.11.2033,71124689.0,2018-11-01,6.661746169657317,צמוד למדד המחירים לצרכן,2033-11-01,0.048,0.0485,3483.71,120.647903,4.203,4.203,עלות מופחתת,0.000278,7.6e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8784 01.11.2026,71118905.0,2011-11-01,1.0512158742431044,צמוד למדד המחירים לצרכן,2026-11-01,0.048,0.0485,1235.84,124.958178,1.544,1.544,עלות מופחתת,0.000102,2.7e-05,,
