מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
671,7234.0,ECP V LLC,,,ECP-V DELWARE,34030,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,"ארה""ב",לא,2023-01-19,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1282.25072,4239.1209,0.000423,0.020777,0.001503
671,7234.0,S3 LB Real Estate Credit III LP,,,S3 LB REAL ESTATE CREDIT A III,39006,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-02-01,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,255.88345,845.9507,0.000983,0.004146,0.000299
671,7234.0,ECP GP V LP,,,BIFFA,34004,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,בריטניה,לא,2023-01-19,GBP,דיווח מנהל הקרן,אי-תלות,2025-06-30,4.4409,1300.20375,5774.07487,0.000794,0.0283,0.002047
671,7234.0,MRECS Investments LLC,,,MACK MREF,33446,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2020-04-24,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,238.82533,789.55654,0.000474,0.003869,0.000279
671,7234.0,NICP IV GP LLC,,,NICP IV Pension,34055,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,קנדה,לא,2023-08-17,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,115.4832,381.78748,0.0006,0.001871,0.000135
671,7234.0,Coller Credit Secondaries - Opportunity Fund II,,,Coller Credit Secondaries - Opportunities Fund II,39081,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2025-07-07,USD,דיווח מנהל הקרן,אי-תלות,2025-07-07,3.306,155.10743,512.78518,0.000255,0.002513,0.000181
671,7234.0,PIMCO SpecFin,,,PIMCO SpecFin,39092,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2025-08-12,USD,דיווח מנהל הקרן,אי-תלות,2025-08-12,3.306,669.67379,2213.94154,0.000425,0.010851,0.000785
671,7234.0,Goldman Sachs Asset Management LP,,,WS Strategic Solutions,33540,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2020-12-08,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,244.2883,807.61713,0.000338,0.003958,0.000286
671,7234.0,StepStone PH Infra (GP) LLC Delaware,,,StepStone Infrastructure  DEBT,33547,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2021-03-18,USD,דיווח מנהל הקרן,אי-תלות,2024-09-30,3.306,0.0,1e-05,0.0,0.0,0.0
671,7234.0,CVC Credit Partners European Direct Lending General Partner III S. r.l.,,,CVC EUDL III COINV,33967,פנימי,קרן חוב,,"חו""ל",,,בריטניה,לא,2022-07-28,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,204.50112,793.60751,0.001401,0.003889,0.000281
671,7234.0,Coller International General Partner VII L.P.,,,Coller IX- Project Caelus-USD,34109,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-03-27,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,777.35611,2569.93932,0.002779,0.012596,0.000911
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,Viola Credit ALF II,33929,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2021-12-09,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,469.3837,1551.78251,0.002319,0.007605,0.00055
671,7234.0,Audax Management Company (NY) LLC (advisor),,,Audax DLS     קרן השקעה,33381,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2018-10-24,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,326.54387,1079.55405,0.000301,0.005291,0.000382
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,United Living,34086,פנימי,פרייבט אקוויטי,,"חו""ל",,,בריטניה,לא,2023-12-21,USD,מומחה בלתי תלוי,אי-תלות,2025-06-30,3.306,542.69844,1794.16106,0.008363,0.008793,0.000636
