מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9655,מרלוג אשדוד - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-09-11,לוגיסטיקה ותעשייה,שלבים התחלתיים,"רחוב עובדי הנמל, אשדוד",9.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,9398.315,9398.31488,,,,13.276%,0.057%
170,9655,נכס עכו - פנסיה,"נדל""ן לא מניב",ישראל,לא,2023-09-27,לוגיסטיקה ותעשייה,שלבים התחלתיים,אזור התעשייה החדש עכו,7.100%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2591.029,2591.02922,,,,3.660%,0.016%
170,9655,איינשטיין 2-4 פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  2-4 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,8531.074,8531.07358,,,,12.051%,0.052%
170,9655,עסקת איינשטיין מרכז 15-17 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  15-17 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,4133.541,4133.54109,,,,5.839%,0.025%
170,9655,איינשטיין 6-8 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-06-16,מסחר,בתכנון/בהיתרים,רחוב איינשטיין 6-8 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,376.938,376.93804,,,,0.532%,0.002%
170,12177,טוטנאוור הר טוב בית שמש - פנסיה,"נדל""ן מניב",ישראל,לא,2019-08-25,לוגיסטיקה ותעשייה,בשימוש,איזור תעשיה הר טוב בית שמש,5.885%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2859.999,2859.99916,,,,6.788%,0.027%
170,12177,מגדלי הארבעה - פנסיה,"נדל""ן מניב",ישראל,לא,2020-01-15,משרדים,בשימוש,רחוב הארבעה תל אביב-יפו,5.099%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3511.679,3511.67866,,,,8.334%,0.033%
170,12177,SKY TOWER - פנסיה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"רחוב המסגר 35, מתחם חסן עראפה, תל אביב",6.364%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2996.25,2996.25027,,,,7.111%,0.028%
170,12177,כורזין גבעתיים - פנסיה,"נדל""ן לא מניב",ישראל,לא,2019-10-23,משרדים,בתכנון/בהיתרים,תפוצות ישראל גבעתיים,7.800%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2625.599,2625.59943,,,,6.231%,0.025%
170,12177,עסקת גרפוליט - פנסיה,"נדל""ן לא מניב",ישראל,לא,2020-01-09,משרדים,בתכנון/בהיתרים,רחוב הגרא תל אביב-יפו,8.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2605.964,2605.96403,,,,6.185%,0.025%
170,12177,נכס באר שבע - פנסיה,"נדל""ן לא מניב",ישראל,לא,2020-07-27,משרדים,שלבים מתקדמים,באר שבע,8.300%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2950.088,2950.08797,,,,7.001%,0.028%
170,12177,אורדן - פנסיה,"נדל""ן לא מניב",ישראל,לא,2021-06-28,משרדים,בתכנון/בהיתרים,אזור תעשיה צפוני נתניה,8.250%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1840.801,1840.80064,,,,4.369%,0.017%
170,12177,מבוא כרמל - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-01-26,לוגיסטיקה ותעשייה,בשימוש,"רחוב אלון פינת תאנה, מבוא כרמל",6.800%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1554.844,1554.84357,,,,3.690%,0.015%
170,12177,אינשטיין 33-35 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-06-15,מסחר,שלבים התחלתיים,רחוב איינשטיין תל אביב,7.700%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,5287.0,5287.00011,,,,12.547%,0.050%
170,12177,מבוא כרמל החדשה - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-06-29,לוגיסטיקה ותעשייה,שלבים התחלתיים,"רחוב אלון פינת תאנה, מבוא כרמל",9.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4601.484,4601.48408,,,,10.921%,0.044%
170,12177,מרלוג אשדוד - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-09-11,לוגיסטיקה ותעשייה,שלבים התחלתיים,"רחוב עובדי הנמל, אשדוד",9.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4061.299,4061.29933,,,,9.639%,0.038%
170,12177,נכס עכו - פנסיה,"נדל""ן לא מניב",ישראל,לא,2023-09-27,לוגיסטיקה ותעשייה,שלבים התחלתיים,אזור התעשייה החדש עכו,7.100%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1799.079,1799.07873,,,,4.270%,0.017%
170,12177,איינשטיין 2-4 פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  2-4 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,3559.933,3559.93261,,,,8.449%,0.034%
170,12177,עסקת איינשטיין מרכז 15-17 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  15-17 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,1724.886,1724.8858,,,,4.094%,0.016%
170,12177,איינשטיין 6-8 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-06-16,מסחר,בתכנון/בהיתרים,רחוב איינשטיין 6-8 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,157.293,157.29251,,,,0.373%,0.001%
170,9656,פארק אפק - מקיפה בני 60 ומעלה,"נדל""ן מניב",ישראל,לא,2018-01-30,לוגיסטיקה ותעשייה,בשימוש,רחוב העמל 7 פארק תעסוקה אפק ראש העין,7.315%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,182.552,182.55196,,,,0.625%,0.003%
170,9656,חניון שוק הפשפשים - פנסיה,"נדל""ן מניב",ישראל,לא,2018-08-07,חניון,בשימוש,רבי פנחס 4 תל אביב,6.235%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,343.197,343.19661,,,,1.175%,0.005%
170,9656,טוטנאוור הר טוב בית שמש - פנסיה,"נדל""ן מניב",ישראל,לא,2019-08-25,לוגיסטיקה ותעשייה,בשימוש,איזור תעשיה הר טוב בית שמש,5.885%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1830.4,1830.40008,,,,6.269%,0.028%
