מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9647,"ארית תעשיות בע""מ",520033358,ח.פ.,ארית תעשיות,IL0005870147,ISIN,מניות,ישראל,ישראל,חסום,TASE,ביטחוניות,לא,ILS,73242.494,1.0,4192.1151,0.0,3070.40966,0.072%,0.132%,0.035%
170,9647,"עמרם אברהם חברה לבנין בע""מ",513201582,ח.פ.,עמרם,IL0011882003,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,201554.925,1.0,3774.0,0.0,7606.68288,0.256%,0.327%,0.088%
170,9647,"תורפז תעשיות בע""מ",514574524,ח.פ.,תורפז,IL0011756116,ISIN,מניות,ישראל,ישראל,חסום,TASE,מזון,לא,ILS,54201.629,1.0,4607.5,0.0,2497.34005,0.050%,0.107%,0.029%
170,9647,"תורפז תעשיות בע""מ",514574524,ח.פ.,תורפז,IL0011756116,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,6456.324,1.0,4954.0,0.0,319.8463,0.006%,0.014%,0.004%
170,9647,"טיב טעם הולדינגס 1 בע""מ",520041187,ח.פ.,טיב טעם,IL0001030100,ISIN,מניות,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ILS,128789.59,1.0,862.4,0.0,1110.68142,0.121%,0.048%,0.013%
170,9647,"אספן גרופ בע""מ",520037540,ח.פ.,אספן גרופ,IL0003130155,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ILS,191777.677,1.0,726.7,0.0,1393.64838,0.298%,0.060%,0.016%
170,9647,"א.מ.ת. מיחשוב בע""מ",520038514,ח.פ.,אמת,IL0003820102,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,42826.877,1.0,903.4,0.0,386.89801,0.097%,0.017%,0.004%
170,9647,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון,IL0002090152,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ILS,10392.194,1.0,6741.0,0.0,700.53779,0.038%,0.030%,0.008%
170,9647,"גן שמואל מזון בע""מ",520039934,ח.פ.,גן שמואל,IL0005320101,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,17858.854,1.0,2903.0,0.0,518.44253,0.113%,0.022%,0.006%
170,9647,"עלבד משואות יצחק בע""מ",520040205,ח.פ.,עלבד,IL0006250125,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"עץ, נייר ודפוס",לא,ILS,0.018,1.0,2735.0,0.0,0.00049,0.000%,0.000%,0.000%
170,9647,"אוריין ש.מ. בע""מ",511068256,ח.פ.,אוריין,IL0011035065,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים,לא,ILS,41733.176,1.0,2392.0,0.0,998.25756,0.232%,0.043%,0.011%
170,9647,"קרדן נדל""ן ייזום ופיתוח בע""מ",520041005,ח.פ.,קרדן נדלן,IL0011184475,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,641501.518,1.0,619.2,0.0,3972.1774,0.343%,0.171%,0.046%
170,9647,קרדן אן.וי.,1239114,מספר שותפות,קרדן אן.וי-ש,NL0000113652,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,622.214,1.0,2.8,0.0,0.01742,0.003%,0.000%,0.000%
170,9647,"ארי נדל""ן(ארנה) השקעות בעמ",520038332,ח.פ.,ארי נדלן,IL0003660136,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,360609.327,1.0,300.0,0.0,1081.82798,0.112%,0.046%,0.012%
170,9647,תאת טכנולוגית,520035791,ח.פ.,תאת טכנו,IL0010827264,ISIN,מניות,ישראל,ישראל,סחיר,TASE,חשמל,לא,ILS,342.784,1.0,13500.0,0.0,46.27578,0.003%,0.002%,0.001%
170,9647,פיסיבי טכנלוגיות,511888356,ח.פ.,פיסיבי טכנ,IL0010916851,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אלקטרוניקה ואופטיקה,לא,ILS,251103.896,1.0,1074.0,0.0,2696.85584,0.348%,0.116%,0.031%
170,9647,רוטשטיין,520039959,ח.פ.,רוטשטיין,IL0005390153,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,705.849,1.0,9234.0,0.0,65.17814,0.004%,0.003%,0.001%
170,9647,"קבוצת גולף א.ק. בע""מ",510289564,ח.פ.,גולף,IL0010961485,ISIN,מניות,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ILS,146000.355,1.0,727.5,0.0,1062.15258,0.330%,0.046%,0.012%
170,9647,"אוברסיז קומרס בע""מ",510490071,ח.פ.,אוברסיז,IL0011396178,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים,לא,ILS,135290.951,1.0,443.7,0.0,600.28595,0.246%,0.026%,0.007%
170,9647,"י.ד. מור השקעות בע""מ",513834606,ח.פ.,מור השקעות,IL0011414641,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,לא,ILS,219739.141,1.0,4523.0,0.0,9938.80135,0.300%,0.427%,0.114%
170,9647,כרמל קורפ בעמ,515818524,ח.פ.,כרמל קורפ,IL0011476855,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,43290.126,1.0,1977.0,0.0,855.84579,0.216%,0.037%,0.010%
170,9647,ריט אזורים - ה.פ ליווינג בעמ,516117181,ח.פ.,ריט אזורים ליוי,IL0011627754,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,475493.139,1.0,560.9,0.0,2667.04102,0.485%,0.114%,0.031%
170,9647,"דור אלון אנרגיה בישראל (1988) בע""מ",520043878,ח.פ.,דור אלון,IL0010932023,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,32929.206,1.0,13070.0,0.0,4303.84718,0.208%,0.185%,0.050%
