Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 27
,168,2016.0,"LCN North American GP III, L.P.",,,LCN North American Fund III A-REIT,291231097.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2020-11-11,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1388.98685,4591.99054,0.002777,0.002205,0.000246,
,168,2016.0,GSO Capital Solutions Associates III LP,,,GSO Capital Solutions Fund III,291231020.0,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2017-07-27,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,342.79522,1133.28102,5.2e-05,0.000544,6e-05,
,168,2016.0,"NFX Capital Fund I GP, LLC",,,NFX Capital Fund II Top Up,291231210.0,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2022-07-26,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,419.40479,1386.55223,0.001242,0.000665,7.4e-05,
,168,2016.0,M&A Capital Sarl,,,הון- KPBפולין,9381.0,פנימי,"קרן נדל""ן",,"חו""ל",,,פולין,לא,2017-12-29,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,152.91674,593.42402,,0.000284,3.1e-05,
,168,2016.0,450 GP LLC,,,Park 450(מניה 2) הון,253000017.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2022-06-14,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,2811.00225,9293.17346,,0.004462,0.000497,
,168,2016.0,Michelson Asset Management Inc,,,Ravella הון,9393.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2019-11-21,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,199.15978,658.42226,,0.000316,3.5e-05,
,168,2016.0,"MSD Partners (GP) – RCOF II, LLC",,,MSD R.E. Credit Opp II - Pen,291231237.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2022-12-11,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,6273.65759,20740.71199,0.004182,0.00996,0.001111,
,168,2016.0,Blackstone Real Estate Partners VIII L.P.,,,Blackstone Real Estate Partners VIII.F L.P.,691239749.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2015-03-01,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,116.48538,385.10067,7e-06,0.000184,2e-05,
,168,2016.0,Hines HEVF 2 (GP) S.a r.l.,,,HEVF 2 SCSP,291231147.0,פנימי,"קרן נדל""ן",,"חו""ל",,,אירופה,לא,2021-08-10,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,953.35304,3699.67717,0.000794,0.001776,0.000198,
,168,2016.0,HarbourVest Partners,,,Dover Street X Feeder Fund L.P.,291231079.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2020-03-08,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,3488.72647,11533.72973,0.000606,0.005538,0.000618,
