Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 29
,665,12154.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,2082.71,122.036,1.0,2.54166,0.243043,3e-06,
,665,12154.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,23.54,5612.81,1.0,1.32142,0.126359,1e-06,
,665,12154.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,361.88,1290.95,1.0,4.67168,0.446723,5e-06,
,665,12154.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,4248.73,45.258,1.0,1.92289,0.183874,2e-06,
,665,13307.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,809.18,45.258,1.0,0.36622,0.183873,7e-06,
,665,13307.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,4.48,5612.81,1.0,0.25167,0.126359,5e-06,
,665,13307.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,68.92,1290.95,1.0,0.88974,0.446723,1.9e-05,
,665,13307.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,396.66,122.036,1.0,0.48407,0.243043,1e-05,
,665,13351.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,0.71,5612.81,1.0,0.03977,0.126366,1e-06,
,665,13351.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,10.89,1290.95,1.0,0.14059,0.446714,4e-06,
