Unnamed: 0,מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 8
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,492420.2849,0.004511,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,452945.31049,0.004149,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,239535.9638,0.002194,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,423167.35897,0.003876,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,281980.2573,0.002583,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,256221.81492,0.002347,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,587285.72575,0.00538,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,377261.03511,0.003456,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,326330.03563,0.002989,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,610394.36796,0.005592,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,20916.72363,0.00274,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,5981.27325,0.000783,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,27138.03413,0.003555,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,12925.40002,0.001693,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,27557.14328,0.00361,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,44877.53117,0.00588,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,1935.85626,0.000253,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,35421.94198,0.004641,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,23705.52619,0.003106,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,52890.87069,0.00693,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,18431.15432,0.002414,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,32582.33464,0.004269,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,27160.06029,0.003558,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,20284.07159,0.002657,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,38154.03245,0.004999,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,43908.33308,0.005753,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,17230.86817,0.002257,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,24902.14939,0.003262,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,30440.27652,0.003988,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,18235.94225,0.002389,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,42246.02751,0.005535,
,168,2012.0,החזקה באפיק השקעה מובטח תשואה,,,23474.34487,0.003075,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,48085.54009,0.004838,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,66658.38235,0.006707,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,29876.08273,0.003006,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,56559.16782,0.005691,
