Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24
,665,13351.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם Bullet ETF צמוד 2025,IL0011582868,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות",לא,ILS,253.2,1.0,1236.5,,3.13082,1.2e-05,0.001138,9.4e-05,
,665,13351.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תא 125,IL0011463564,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,70.74,1.0,31750.0,,22.4592,2e-06,0.008166,0.000676,
,665,13351.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל תא 35,IL0012259946,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,12.54,1.0,5208.0,,0.65284,1.1e-05,0.000237,1.9e-05,
,665,13351.0,"ילין לפידות-ניהול קרנות נאמנות בע""מ",513846808,ח.פ.,"י.ל סל ת""א בנקים",IL0012065491,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",לא,ILS,34.13,1.0,9617.0,,3.28192,2e-06,0.001193,9.8e-05,
,665,13351.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל תא 125,IL0011488082,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,118.88,1.0,3172.0,,3.77079,1e-06,0.001371,0.000113,
,665,13351.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תא 125,IL0011437188,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,729.85,1.0,3198.0,,23.34075,3e-06,0.008487,0.000702,
,665,13351.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד 60,IL0011504730,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,21277.79,1.0,390.79,,83.15146,0.000108,0.030236,0.002503,
,665,13351.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד צמוד,IL0011506065,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,3694.48,1.0,406.0,,14.9996,7.8e-05,0.005454,0.000451,
,665,13351.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תא 35,IL0011437006,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,446.83,1.0,3151.0,,14.07965,6e-06,0.005119,0.000423,
,665,13351.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל אי.בנקים מש,IL0011877649,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",לא,ILS,291.95,1.0,10670.0,,31.15127,9e-06,0.011327,0.000937,
