Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 19
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8892 4.8% 2035,8288920.0,2020-12-01,8.0428,צמוד למדד המחירים לצרכן,2035-12-01,0.048,0.0486,356217847.05,120.274041,540212.12264,428437.60021,עלות מופחתת,0.037478,0.015241,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8839 4.80% 2031,8288391.0,2016-06-01,4.9551,צמוד למדד המחירים לצרכן,2031-06-01,0.048,0.0486,61928313.18,122.474057,87355.71055,75846.11772,עלות מופחתת,0.006634,0.002698,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8861 4.80% 2033,8288610.0,2018-04-01,6.2425,צמוד למדד המחירים לצרכן,2033-04-01,0.048,0.0486,11780779.78,122.939151,17323.85035,14483.1906,עלות מופחתת,0.001266,0.000515,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8836 4.80% 2031,8288367.0,2016-03-01,4.8181,צמוד למדד המחירים לצרכן,2031-03-01,0.048,0.0486,16701799.34,120.904734,23163.77287,20193.26605,עלות מופחתת,0.001766,0.000718,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8830 4.80% 2030,8288300.0,2015-09-01,4.4269,צמוד למדד המחירים לצרכן,2030-09-01,0.048,0.0486,9915990.48,119.092969,13390.41151,11809.24751,עלות מופחתת,0.001033,0.00042,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8815 4.80% 2029,8288151.0,2014-06-01,3.3578,צמוד למדד המחירים לצרכן,2029-06-01,0.048,0.0486,74537296.24,120.755293,98934.82317,90007.73084,עלות מופחתת,0.007873,0.003202,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8883 4.8% 2035,8288830.0,2020-02-02,7.5853,צמוד למדד המחירים לצרכן,2035-02-02,0.048,0.0486,83447627.65,118.85334,123325.77103,99180.29276,עלות מופחתת,0.008676,0.003528,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8808 4.80% 2028,8288086.0,2013-11-01,2.8531,צמוד למדד המחירים לצרכן,2028-11-01,0.048,0.0486,84829793.08,120.756718,110921.88322,102437.67406,עלות מופחתת,0.008961,0.003644,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8805 4.80% 2028,8288052.0,2013-08-01,2.6679,צמוד למדד המחירים לצרכן,2028-08-01,0.048,0.0486,57692794.95,119.92217,74508.30798,69186.45156,עלות מופחתת,0.006052,0.002461,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8865 4.8% 2033,8288650.0,2018-08-01,6.5774,צמוד למדד המחירים לצרכן,2033-08-01,0.048,0.0486,142159673.32,119.46518,205051.26006,169831.31012,עלות מופחתת,0.014856,0.006041,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8845 4.80% 2031,8288458.0,2016-12-01,5.3322,צמוד למדד המחירים לצרכן,2031-12-01,0.048,0.0486,84457066.9,121.487311,119479.97364,102604.61943,עלות מופחתת,0.008975,0.00365,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8810 4.80% 2029,8288102.0,2014-01-01,3.0202,צמוד למדד המחירים לצרכן,2029-01-01,0.048,0.0486,42788582.1,119.926803,55836.67243,51314.97845,עלות מופחתת,0.004488,0.001825,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8819 4.80% 2029,8288193.0,2014-10-01,3.6054,צמוד למדד המחירים לצרכן,2029-10-01,0.048,0.0486,65996845.66,121.230274,88586.50789,80008.1567,עלות מופחתת,0.006998,0.002846,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8840 4.80% 2031,8288409.0,2016-07-01,5.0376,צמוד למדד המחירים לצרכן,2031-07-01,0.048,0.0486,5271089.85,121.62141,7401.07333,6410.7738,עלות מופחתת,0.00056,0.000228,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8820 4.80% 2029,8288201.0,2014-11-02,3.6929,צמוד למדד המחירים לצרכן,2029-11-02,0.048,0.0486,56231466.31,121.096058,75572.67102,68094.08881,עלות מופחתת,0.005956,0.002422,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8874 4.8% 2034,8288740.0,2019-05-01,7.0014,צמוד למדד המחירים לצרכן,2034-05-01,0.048,0.0486,163660216.29,120.387885,240990.72098,197027.07292,עלות מופחתת,0.017235,0.007009,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8812 4.80% 2029,8288128.0,2014-03-02,3.1852,צמוד למדד המחירים לצרכן,2029-03-02,0.048,0.0486,86056047.11,119.547879,112515.42183,102878.17897,עלות מופחתת,0.008999,0.003659,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8894 4.8% 2036,8288940.0,2021-02-01,8.2122,צמוד למדד המחירים לצרכן,2036-02-01,0.048,0.0486,193248077.45,119.684514,292988.90602,231288.02174,עלות מופחתת,0.020232,0.008228,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8906 4.8% 2037,8289080.0,2022-04-01,8.7668,צמוד למדד המחירים לצרכן,2037-04-01,0.048,0.0486,71810456.51,117.238719,108476.8662,84189.65913,עלות מופחתת,0.007364,0.002995,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8837 4.80% 2031,8288375.0,2016-04-01,4.7879,צמוד למדד המחירים לצרכן,2031-04-01,0.048,0.0486,127170503.5,123.689522,180311.08121,157296.58776,עלות מופחתת,0.013759,0.005595,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8789 4.8% 2027,8287898.0,2012-04-01,1.4322,צמוד למדד המחירים לצרכן,2027-04-01,0.048,0.0486,59805159.49,125.449565,77991.38311,75025.31263,עלות מופחתת,0.006563,0.002669,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8855 4.80% 2032,8288550.0,2017-10-01,5.8931,צמוד למדד המחירים לצרכן,2032-10-01,0.048,0.0486,94855030.88,122.693746,137781.6203,116381.19088,עלות מופחתת,0.01018,0.00414,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8857 4.80% 2032,8288570.0,2017-12-01,6.0603,צמוד למדד המחירים לצרכן,2032-12-01,0.048,0.0486,91237583.5,121.251186,131582.98256,110626.65229,עלות מופחתת,0.009677,0.003935,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8809 4.80% 2028,8288094.0,2013-12-01,2.9355,צמוד למדד המחירים לצרכן,2028-12-01,0.048,0.0486,68504878.11,119.931453,89193.55859,82158.89565,עלות מופחתת,0.007187,0.002922,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8860 4.80% 2033,8288600.0,2018-03-02,6.3105,צמוד למדד המחירים לצרכן,2033-03-02,0.048,0.0486,49777154.96,120.642639,71948.3892,60052.47316,עלות מופחתת,0.005253,0.002136,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8877 4.8% 2034,8288770.0,2019-08-01,7.2537,צמוד למדד המחירים לצרכן,2034-08-01,0.048,0.0486,155762686.04,118.516376,227351.3177,184604.29041,עלות מופחתת,0.016148,0.006567,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8902 4.8% 2036,8289020.0,2021-10-01,8.4777,צמוד למדד המחירים לצרכן,2036-10-01,0.048,0.0486,49301087.62,118.846279,74852.51761,58592.50796,עלות מופחתת,0.005125,0.002084,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8822 4.80% 2029,8288227.0,2015-01-01,3.8573,צמוד למדד המחירים לצרכן,2030-01-01,0.048,0.0486,5855505.5,120.044282,7838.32711,7029.19954,עלות מופחתת,0.000614,0.00025,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8843 4.80% 2031,8288433.0,2016-10-02,5.3019,צמוד למדד המחירים לצרכן,2031-10-02,0.048,0.0486,52504491.98,122.55141,73073.20669,64344.99498,עלות מופחתת,0.005628,0.002289,
