מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14044,14046,האוצר - ממשלתית צמודה,ממשל צמוד 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.658,31/05/2027,0.0075,0.02077,0.0,82718.0,1.0,117.66,97.326,,שווי הוגן,3.4e-06,0.11443,0.02006
14044,14046,האוצר - ממשלתית צמודה,ממשל צמוד 0536,IL0010977085,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,8.968,31/05/2036,0.04,0.01937,0.0,2668.0,1.0,170.85,4.558,,שווי הוגן,1.7e-07,0.00536,0.00094
14044,14046,האוצר - ממשלתית צמודה,ממשל צמוד 1025,IL0011359127,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.085,31/10/2025,0.0075,0.08594,0.0,37677.0,1.0,119.27,44.937,,שווי הוגן,3.97e-06,0.05283,0.00926
14044,14046,האוצר - ממשלתית צמודה,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.634,31/05/2029,0.005,0.01929,0.0,114028.0,1.0,113.0,128.852,,שווי הוגן,3.87e-06,0.1515,0.02655
14044,14046,האוצר - ממשלתית צמודה,ממשל צמודה 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.144,30/11/2031,0.001,0.01897,0.0,19521.0,1.0,106.54,20.798,,שווי הוגן,5.7e-07,0.02445,0.00429
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,46567.0,1.0,117.0,54.483,,שווי הוגן,1.5e-06,0.06406,0.01123
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלי 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.479,31/03/2027,0.02,0.03942,0.0,38004.0,1.0,98.22,37.328,,שווי הוגן,1.35e-06,0.04389,0.00769
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלי 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,2.928,30/09/2028,0.0225,0.0392,0.0,192328.0,1.0,95.37,183.423,,שווי הוגן,1e-05,0.21566,0.0378
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלי 1026,IL0010994569,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.025,31/10/2026,0.0625,0.03838,0.0,8290.0,1.0,108.22,8.971,,שווי הוגן,5.6e-07,0.01055,0.00185
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלית 0226,IL0011746976,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.411,28/02/2026,0.005,0.04008,0.0,56678.0,1.0,98.89,56.049,,שווי הוגן,2.29e-06,0.0659,0.01155
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,63549.0,1.0,88.66,56.343,,שווי הוגן,1.68e-06,0.06624,0.01161
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלית 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.288,30/04/2032,0.013,0.04018,0.0,34026.0,1.0,85.09,28.953,,שווי הוגן,8.8e-07,0.03404,0.00597
14044,14046,האוצר - ממשלתית שקלית,ממשל שקלית 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,10.552,31/05/2037,0.015,0.04208,0.0,169228.0,1.0,75.94,128.512,,שווי הוגן,4.23e-06,0.1511,0.02648
14044,14047,בנק ישראל - מקמ,מ.ק.מ 216,IL0082602181,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.348,4/02/2026,0.0,0.04135,0.0,36000.0,1.0,98.6,35.496,,שווי הוגן,2e-06,0.12612,0.03806
14044,14047,האוצר - ממשלתית צמודה,ממשל צמוד 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.658,31/05/2027,0.0075,0.02077,0.0,12897.0,1.0,117.66,15.175,,שווי הוגן,5.3e-07,0.05392,0.01627
14044,14047,האוצר - ממשלתית צמודה,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.634,31/05/2029,0.005,0.01929,0.0,26000.0,1.0,113.0,29.38,,שווי הוגן,8.8e-07,0.10439,0.0315
