מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8790,9879000.0,2012-05-01,1.5145,צמוד למדד המחירים לצרכן,2027-05-01,0.048,0.0486,13224.17,124.464418,17.15066,16.45938,עלות מופחתת,0.003311,0.000557
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8855,9885500.0,2017-10-01,5.893,צמוד למדד המחירים לצרכן,2032-10-01,0.048,0.0485,40005.08,122.677827,58.10938,49.07736,עלות מופחתת,0.009873,0.001662
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8861,9886100.0,2018-04-01,6.2425,צמוד למדד המחירים לצרכן,2033-04-01,0.048,0.0485,10792.79,122.92311,15.87099,13.26683,עלות מופחתת,0.002669,0.000449
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8808,9880800.0,2013-11-01,2.8531,צמוד למדד המחירים לצרכן,2028-11-01,0.048,0.0485,25954.15,120.74092,33.93716,31.33727,עלות מופחתת,0.006304,0.001061
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8835,9883500.0,2016-02-01,4.7404,צמוד למדד המחירים לצרכן,2031-02-01,0.048,0.0485,250.82,120.75799,0.34659,0.30289,עלות מופחתת,6e-05,1e-05
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8818,9881800.0,2014-09-01,3.6094,צמוד למדד המחירים לצרכן,2029-09-01,0.048,0.0485,33563.08,118.730605,44.12466,39.84964,עלות מופחתת,0.008017,0.001349
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8803,9880300.0,2013-06-02,2.5033,צמוד למדד המחירים לצרכן,2028-06-02,0.048,0.0485,35407.19,121.92004,46.28441,43.16846,עלות מופחתת,0.008684,0.001462
214,15038,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8854,9885400.0,2017-09-01,5.9518,צמוד למדד המחירים לצרכן,2032-09-01,0.048,0.0485,2117223.91,120.64266,3028.32456,2554.27526,עלות מופחתת,0.008451,0.00146
214,15038,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8871,9887100.0,2019-02-01,6.9221,צמוד למדד המחירים לצרכן,2034-02-01,0.048,0.0485,2687128.01,119.567415,3918.62897,3212.92953,עלות מופחתת,0.01063,0.001836
214,15038,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8828,9882800.0,2015-07-01,4.2579,צמוד למדד המחירים לצרכן,2030-07-01,0.048,0.0485,185343.53,120.628644,252.32668,223.57739,עלות מופחתת,0.000739,0.000127
