מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
170,9650,,,,,,,,,,,,,,,,,,0.000%
170,2004,,,,,,,,,,,,,,,,,,0.000%
170,9649,,,,,,,,,,,,,,,,,,0.000%
667,9633,194.0,פנימי,הלוואה לגורם 194,2080645.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,8.500%,משתנה,891.622,891.622,46.868%
667,9633,194.0,פנימי,הלוואה לגורם 194,2080646.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,13.100%,משתנה,104.898,104.898,46.868%
667,9633,179.0,פנימי,הלוואה לגורם 179,2080533.0,2021-06-30,ישראל,,לא,A-,S&P מעלות,הלוואה,ILS,1.0,7.150%,משתנה,3083.85,3083.85,12.352%
667,9633,182.0,פנימי,הלוואה לגורם 182,2080536.0,2021-06-30,ישראל,,לא,NR,NR,NR,ILS,1.0,7.250%,משתנה,6021.553,6021.553,26.718%
667,9633,174.0,פנימי,הלוואה לגורם 174,2080688.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,4.000%,קבועה,1769.766,1769.766,59.388%
667,9633,203.0,פנימי,הלוואה לגורם 203,2080744.0,2022-12-18,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,6561.642,6561.642,69.964%
667,9633,174.0,פנימי,הלוואה לגורם 174,2080662.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,5.000%,קבועה,5060.818,5060.818,53.840%
667,9633,186.0,פנימי,הלוואה לגורם 186,2080622.0,2022-04-30,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,2.820%,קבועה,3827.617,3827.617,14.194%
667,9633,154.0,פנימי,הלוואה לגורם 154,2080571.0,2018-08-01,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,1974.258,1974.258,14.002%
667,9633,185.0,פנימי,הלוואה לגורם 185,2080574.0,2023-09-11,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,1.370%,קבועה,985.642,985.642,7.107%
667,9633,202.0,פנימי,הלוואה לגורם 202,2080749.0,2023-09-21,ישראל,,לא,NR,NR,NR,ILS,1.0,3.940%,קבועה,1697.44,1697.44,54.517%
667,9633,250.0,פנימי,הלוואה לגורם 250,2080765.0,2023-10-26,ישראל,,לא,NR,NR,NR,ILS,1.0,3.390%,קבועה,1880.3,1880.3,10.588%
667,9633,113.0,פנימי,הלוואה לגורם 113,8261018.0,2023-11-15,ישראל,,לא,Aa1,NR,מנפיק,ILS,1.0,3.850%,קבועה,6557.179,6557.179,97.499%
667,9633,19685.0,פנימי,הלוואה לגורם 19685,2080801.0,2023-12-20,ישראל,,לא,A+,S&P מעלות,הלוואה,ILS,1.0,6.900%,משתנה,4831.968,4831.968,83.489%
667,9633,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,1022.161,1022.161,8.545%
667,9633,19780.0,פנימי,הלוואה לגורם  19780,2080853.0,2024-06-01,ישראל,,לא,NR,NR,NR,USD,3.306,9.300%,משתנה,484.442,1601.567,1.008%
667,9633,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,2638.635,2638.635,67.262%
667,9633,19862.0,פנימי,הלוואה לגורם  19862,2080921.0,2024-11-14,ישראל,,לא,NR,NR,NR,USD,3.306,10.700%,משתנה,340.659,1126.219,60.018%
667,9633,19977.0,פנימי,הלוואה לגורם  19977,2080948.0,2025-01-15,ישראל,,לא,NR,NR,NR,USD,3.306,8.990%,משתנה,604.066,1997.041,33.723%
667,9633,18633.0,פנימי,הלוואה לגורם  18633,2081047.0,2025-09-15,ישראל,,לא,NR,NR,NR,USD,3.306,15.300%,משתנה,273.743,904.993,67.196%
667,9633,18880.0,פנימי,הלוואה לגורם  18880,2081049.0,2025-09-28,ישראל,,לא,A3,מידרוג Moodys,מנפיק,ILS,1.0,12.500%,משתנה,2017.588,2017.588,62.855%
667,2176,194.0,פנימי,הלוואה לגורם 194,2080645.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,8.500%,משתנה,722.929,722.929,46.868%
667,2176,194.0,פנימי,הלוואה לגורם 194,2080646.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,13.100%,משתנה,85.051,85.051,46.868%
667,2176,179.0,פנימי,הלוואה לגורם 179,2080533.0,2021-06-30,ישראל,,לא,A-,S&P מעלות,הלוואה,ILS,1.0,7.150%,משתנה,2500.391,2500.391,12.352%
667,2176,182.0,פנימי,הלוואה לגורם 182,2080536.0,2021-06-30,ישראל,,לא,NR,NR,NR,ILS,1.0,7.250%,משתנה,4882.285,4882.285,26.718%
667,2176,174.0,פנימי,הלוואה לגורם 174,2080688.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,4.000%,קבועה,1434.929,1434.929,59.388%
667,2176,45.0,פנימי,הלוואה לגורם 45,2080277.0,2018-06-13,ישראל,,לא,Aa2,מידרוג Moodys,הלוואה,EUR,3.8807,3.300%,משתנה,23.043,89.423,54.954%
667,2176,203.0,פנימי,הלוואה לגורם 203,2080744.0,2022-12-18,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,5320.191,5320.191,69.964%
667,2176,174.0,פנימי,הלוואה לגורם 174,2080662.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,5.000%,קבועה,4103.32,4103.32,53.840%
667,2176,186.0,פנימי,הלוואה לגורם 186,2080622.0,2022-04-30,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,2.820%,קבועה,3103.439,3103.439,14.194%
667,2176,154.0,פנימי,הלוואה לגורם 154,2080571.0,2018-08-01,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,1600.731,1600.731,14.002%
667,2176,185.0,פנימי,הלוואה לגורם 185,2080574.0,2023-09-11,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,1.370%,קבועה,799.16,799.16,7.107%
667,2176,202.0,פנימי,הלוואה לגורם 202,2080749.0,2023-09-21,ישראל,,לא,NR,NR,NR,ILS,1.0,3.940%,קבועה,1376.287,1376.287,54.517%
667,2176,250.0,פנימי,הלוואה לגורם 250,2080765.0,2023-10-26,ישראל,,לא,NR,NR,NR,ILS,1.0,3.390%,קבועה,1524.55,1524.55,10.588%
667,2176,113.0,פנימי,הלוואה לגורם 113,8261018.0,2023-11-15,ישראל,,לא,Aa1,NR,מנפיק,ILS,1.0,3.850%,קבועה,5316.572,5316.572,97.499%
667,2176,19685.0,פנימי,הלוואה לגורם 19685,2080801.0,2023-12-20,ישראל,,לא,A+,S&P מעלות,הלוואה,ILS,1.0,6.900%,משתנה,3917.768,3917.768,83.489%
667,2176,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,828.77,828.77,8.545%
667,2176,19780.0,פנימי,הלוואה לגורם  19780,2080853.0,2024-06-01,ישראל,,לא,NR,NR,NR,USD,3.306,9.300%,משתנה,392.787,1298.553,1.008%
667,2176,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,2139.409,2139.409,67.262%
