מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
667,13698,מס לקבל דולר 2019-2023  להחזר מ WTAX,99368085,חייבים וזכאים מס,ישראל,ישראל,לא,2025-05-28,USD,2025-09-30,0.259,3.306,0.85689,,,0.039%,0.000%
667,13698,חוז פנסיה וגמל בגין מס לקבל שנת 2022,99368090,חייבים וזכאים מס,ישראל,ישראל,לא,2025-07-27,USD,2025-09-30,0.351,3.306,1.1604,,,0.053%,0.000%
667,13698,מס לקבל 2024 דולר קנדי להחזר מ WTAX,99368105,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,2.007,2.3745,4.76485,,,0.219%,0.001%
667,13698,מס לקבל 2019-2023 דולר קנדי להחזר מ WTAX,99368106,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,3.356,2.3745,7.96815,,,0.366%,0.001%
667,13698,מס לקבל 2024 מניות דואליות  בישראל דולר,99368107,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,1.036,3.306,3.42453,,,0.157%,0.001%
667,13698,מס לקבל 2023 מניות דואליות  בישראל דולר,99368108,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.009,3.306,0.02874,,,0.001%,0.000%
667,13698,מס לקבל מפעל מאושר שנת 2024,99368109,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-14,USD,2025-09-30,0.109,3.306,0.36087,,,0.017%,0.000%
667,13698,מס לקבל דולר בוני בגין שנת 2025,99368111,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,0.857,3.306,2.83366,,,0.130%,0.000%
667,13698,מס לקבל דולר בוני בגין שנת 2024,99368112,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,0.86,3.306,2.84387,,,0.130%,0.000%
667,13698,חוז פנסיה וגמל בגין מס לקבל שנת 2023,99368094,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-30,USD,2025-09-30,1.071,3.306,3.54072,,,0.162%,0.001%
667,14795,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,1751.709,1.0,1751.708564,,,100.000%,0.199%
667,14238,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,345.031,1.0,345.0309542,,,100.000%,0.942%
